route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,block_code,vehicle_type
tallinna-lin_bus_1A,46720,157,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,158,"Viimsi keskus",0,163676,tallinna-lin_bus_1A_a-b,1,1A-06,L
tallinna-lin_bus_1A,46720,159,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,160,"Viimsi keskus",0,163682,tallinna-lin_bus_1A_a-b,1,1A-07,L
tallinna-lin_bus_1A,46720,161,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,162,"Viimsi keskus",0,163681,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,163,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,164,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,165,"Viimsi keskus",0,163676,tallinna-lin_bus_1A_a-b,1,1A-06,L
tallinna-lin_bus_1A,46720,166,"Viimsi keskus",0,163682,tallinna-lin_bus_1A_a-b,1,1A-07,L
tallinna-lin_bus_1A,46720,167,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,168,"Viimsi keskus",0,163681,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,169,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,170,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,171,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,172,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,173,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,174,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,175,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,176,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,177,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,178,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,179,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,180,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,181,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,182,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,183,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,184,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a1-b,1,1A-05,L
tallinna-lin_bus_1A,50696,185,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,186,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,187,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,188,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,189,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,190,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,191,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,192,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,193,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,194,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,195,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,196,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
tallinna-lin_bus_1A,50696,197,"Viru keskus",1,175387,tallinna-lin_bus_1A_b-a,1,1A-02,L
tallinna-lin_bus_1A,50696,198,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,199,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,200,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
tallinna-lin_bus_1A,50696,201,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,202,"Viru keskus",1,175387,tallinna-lin_bus_1A_b-a,1,1A-02,L
tallinna-lin_bus_1A,50696,203,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,204,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,205,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
