stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id
134662,47336-1,"Jalaka tee",,59.31916,24.51258,,,,4420
132937,47308-1,"Tuuleveski",,59.32246,24.51138,,,,4116
132938,23379-1,"Tuuleveski",,59.32247,24.51123,,,,4117
126577,23383-1,"Vanamõisa mõis",,59.32500,24.51391,,,,46
13359,23371-1,"Kodasema",,59.39593,24.53559,,,,13359
13360,23370-1,"Kodasema",,59.39552,24.53658,,,,13360
10369,21591-1,"Vatsla",,59.40198,24.50486,,,,10369
1620,20818-1,"Laagri alevik",,59.35163,24.61199,,,,1620
13183,20824-1,"Laagri alevik",,59.35164,24.61323,,,,13183
1618,20816-1,"Rahnu",,59.35137,24.62143,,,,1618
1621,20820-1,"Rahnu",,59.35123,24.62355,,,,1621
132933,47302-1,"Karu tee",,59.26554,24.53279,,,,4113
132934,47303-1,"Karu tee",,59.26546,24.53288,,,,4114
132932,47301-1,"Voore mõis",,59.25799,24.58025,,,,4112
9686,23359-1,"Harutee",,59.24334,24.49045,,,,9686
9752,23365-1,"Harutee",,59.24289,24.49519,,,,9752
4935,21902-1,"Allikmäe",,59.21857,24.43659,,,,4935
4936,21901-1,"Allikmäe",,59.21881,24.43701,,,,4936
4858,22706-1,"Ellamaa",,59.04750,24.17418,,,,4858
4859,22705-1,"Ellamaa",,59.04758,24.17448,,,,4859
4884,22710-1,"Hürjapea",,59.13964,24.33019,,,,4884
4885,22709-1,"Hürjapea",,59.13941,24.32985,,,,4885
4866,22712-1,"Kivitammi",,59.10018,24.25224,,,,4866
4867,22711-1,"Kivitammi",,59.09957,24.25220,,,,4867
4915,21908-1,"Rallipargi",,59.17668,24.36274,,,,4915
4916,21907-1,"Rallipargi",,59.17729,24.36609,,,,4916
4870,22721-1,"Riisipere",,59.12304,24.30352,,,,4870
4871,22722-1,"Riisipere",,59.12307,24.30401,,,,4871
4868,22727-1,"Riisipere mõis",,59.11895,24.28164,,,,4868
4869,22728-1,"Riisipere mõis",,59.11871,24.28051,,,,4869
4933,21944-1,"Ruila",,59.19780,24.41144,,,,4933
4934,21943-1,"Ruila",,59.19792,24.41303,,,,4934
9172,22739-1,"Turba",,59.08241,24.23303,,,,9172
9173,22740-1,"Turba",,59.08233,24.23263,,,,9173
12555,22749-1,"Vilumäe",,59.11362,24.26177,,,,12555
12556,22750-1,"Vilumäe",,59.11380,24.26299,,,,12556
4943,23308-1,"Harutee",,59.23965,24.49571,,,,4943
150911,47383-1,"Harutee",,59.23957,24.49566,,,,6329
147390,47364-1,"Kooli talu",,59.22448,24.52307,,,,6196
147391,47367-1,"Kooli talu",,59.22442,24.52340,,,,6197
4939,23326-1,"Kuristo",,59.21526,24.55452,,,,4939
4940,23325-1,"Kuristo",,59.21533,24.55463,,,,4940
132922,47304-1,"Külakõrtsu",,59.22067,24.53229,,,,4104
