route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_regionalbus_132A,"132A","Tallinn - Järveküla - Rae küla - Jüri - Vaida",,3,,,
harju_regionalbus_133,"133","Keila - Harutee - Riisipere - Turba - Ellamaa - Lehetu",,3,,,
harju_regionalbus_134,"134","Tallinn - Jüri - Vana mnt - Vaida",,3,,,
harju_regionalbus_135,"135","Tallinn - Jüri - Aruküla - Peningi",,3,,,
harju_regionalbus_135A,"135A","Tallinn - Jüri - Aruküla",,3,,,
harju_regionalbus_135C,"135C","Tallinn - Jüri - Aruküla - Peningi - Urvaste",,3,,,
harju_regionalbus_136,"136","Tallinn - Harku - Keila - Ämari - Madise - Paldiski",,3,,,
harju_regionalbus_137,"137","Vääna-Jõesuu - Tabasalu - Tallinn",,3,,,
harju_regionalbus_138,"138","Tallinn - Vaida - Kose-Uuemõisa - Kose",,3,,,
harju_regionalbus_139,"139","Tallinn - Vaida - Kose-Uuemõisa - Kose  - Ardu",,3,,,
harju_regionalbus_140,"140","Tallinn - Kose - Ravila - Ardu",,3,,,
harju_regionalbus_144,"144","Tallinn - Kose",,3,,,
harju_regionalbus_145,"145","Tallinn - Harku - Keila - Paldiski",,3,,,
harju_regionalbus_146,"146","Tallinn - Harku - Keila - Ämari - Padise - Harju-Risti - Nõva",,3,,,
harju_regionalbus_148,"148","Tallinn - Harku - Keila - Ämari - Rummu",,3,,,
harju_regionalbus_149,"149","Tallinn - Harku - Keila - Rummu - Audevälja",,3,,,
harju_regionalbus_150,"150","Tallinn - Laagna - Kostivere - Uus-Rebala - Tallinn",,3,,,
harju_regionalbus_151,"151","Tallinn - Laagna - Kuusalu - Kolga - Loksa",,3,,,
harju_regionalbus_151A,"151A","Tallinn - Laagna - Kuusalu - Loksa - Pärispea - Loksa",,3,,,
harju_regionalbus_152,"152","Tallinn - Kuusalu - Kolga - Loksa",,3,,,
harju_regionalbus_152A,"152A","Tallinn - Jõelähtme - Kaberla - Kuusalu - Kolga - Loksa",,3,,,
harju_regionalbus_153,"153","Tallinn - Laagna - Kuusalu - Kolga - Loksa - Pärispea - Loksa",,3,,,
harju_regionalbus_154,"154","Tallinn - Jõelähtme - Kaberla - Kiiu - Kuusalu - Muuksi - Leesi",,3,,,
harju_regionalbus_155,"155","Tallinn - Laagna - Kuusalu - Loksa",,3,,,
harju_regionalbus_156,"156","Tallinn - Kuusalu - Kahala - Kolga - Loksa - Hara",,3,,,
harju_regionalbus_157,"157","Tallinn - Loksa",,3,,,
harju_regionalbus_158,"158","Tallinn - Kuusalu",,3,,,
harju_regionalbus_160,"160","Tallinn - Soodevahe",,3,,,
harju_regionalbus_162,"162","Tallinn - Järvesuu - Peetri - Uuesalu",,3,,,
harju_regionalbus_163,"163","Tallinn - Ääsmäe - Ruila - Kernu - Haiba",,3,,,
harju_regionalbus_164,"164","Tallinn - Jüri - Kiili - Kohila",,3,,,
harju_regionalbus_170,"170","Tallinn - Laagna - Kärmu - Maardu",,3,,,
harju_regionalbus_171,"171","Tallinn - Loovälja - Maardu",,3,,,
harju_regionalbus_172,"172","Tallinn - Lasnamägi - Muuga - Maardu",,3,,,
harju_regionalbus_173,"173","Pirita - Muuga aedlinn - Maardu",,3,,,
harju_regionalbus_174,"174","Tallinn - Viimsi - Haabneeme",,3,,,
harju_regionalbus_180E,"180E","Rannamõisa - Tallinn - Maardu",,3,,,
harju_regionalbus_191,"191","Tallinn - Saue",,3,,,
harju_commercialbus_206,"206","Tallinn - Saku",,3,,,
